job_id,provider,model,task,method,block,regime,steps,token_budget,single_test_loss,selector_test_loss,single_algorithm_seconds,selected_algorithm_seconds,saved_selector_feature_and_predict_seconds,selector_total_seconds,end_to_end_time_ratio,single_feature_calls,selected_feature_calls,selected_local_checks,test_instances,prediction_timing_mode,exact_reference_generation_timed,replay_matches
minimax-tsp-relational_qp_rr-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,3,slots8,8,,0.052108111771053,0.05475533085601489,0.29211379995103925,0.2807100999634713,0.06317000009585172,0.343880100059323,1.1772127852808056,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp_rr-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,3,tokens30000,32,30000,0.06796783840920469,0.06603450420321298,0.24463540001306683,0.21972240007016808,0.09867440001107752,0.3183968000812456,1.3015156435423447,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_rr-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,3,slots8,8,,0.049861715493903246,0.042503362426823496,0.2802232999820262,0.2709170999005437,0.06463469995651394,0.33555179985705763,1.1974443234327061,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_rr-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,3,tokens30000,32,30000,0.07987316151928911,0.06691741029603539,0.2583919999888167,0.2536569000221789,0.07998769998084754,0.3336446000030264,1.2912342488059487,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-niche-b3-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,3,slots8,8,,0.06943237431840063,0.09055176348697778,0.24154399998951703,0.22442920005414635,0.10483960004057735,0.3292688000947237,1.363183519810113,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-niche-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,3,tokens30000,32,30000,0.05980205600757577,0.0648758930389037,0.2438452000496909,0.22664479992818087,0.0646953999530524,0.2913401998812333,1.1947752091157169,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational-b3-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,3,slots8,8,,0.06943237431840063,0.0801163153194243,0.23390509991440922,0.2329030999680981,0.12568820000160486,0.35859129996970296,1.5330631957187724,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,3,tokens30000,32,30000,0.06278023053274404,0.06990977178920285,0.21192779997363687,0.2298935999860987,0.09139710001181811,0.3212906999979168,1.5160384812086207,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp-b3-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,3,slots8,8,,0.05844285706175843,0.05944254779108549,0.22086200001649559,0.22152439993806183,0.06577530002687126,0.2872996999649331,1.3008109133462318,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,3,tokens30000,32,30000,0.05944254779108549,0.05884482392874835,0.21983239997643977,0.22734949993900955,0.08994440000969917,0.3172938999487087,1.443344566054477,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp_rr-b3-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,3,slots8,8,,0.05482945647781017,0.05659725318980671,0.21452549996320158,0.2885258999885991,0.07441100000869483,0.36293689999729395,1.6918123955406232,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
